Sensor_data:-0.01,0.02,0.90,2.56,0.73,-1.46,0.10,
Sensor_data:-0.02,0.02,1.09,-1.89,1.22,-1.16,0.75,
Sensor_data:-0.02,0.06,0.95,-0.92,0.98,-1.34,0.72,
Sensor_data:0.00,-0.00,1.05,0.49,1.04,-1.40,0.52,
Sensor_data:0.00,0.00,0.96,1.59,1.04,-1.46,0.33,
Sensor_data:0.00,-0.04,0.99,0.61,1.10,-1.53,-0.99,
Sensor_data:-0.01,-0.02,0.97,-1.04,1.10,-1.22,-0.99,
Sensor_data:0.02,-0.01,1.05,-0.37,1.04,-1.28,0.14,
Sensor_data:0.02,0.00,0.98,0.92,0.92,-1.28,0.91,
Sensor_data:0.01,-0.02,1.00,1.34,0.92,-1.16,0.85,
Sensor_data:0.00,-0.01,1.03,-0.79,0.79,-1.10,0.72,
Sensor_data:-0.01,0.03,0.97,-1.22,1.04,-1.04,0.17,
Sensor_data:-0.03,0.04,1.02,-0.49,1.16,-0.98,0.04,
Sensor_data:0.00,-0.03,0.93,1.53,1.04,-1.10,0.10,
Sensor_data:-0.06,0.08,0.89,0.12,1.22,-1.10,0.20,
Sensor_data:-0.01,0.01,0.98,0.85,1.22,-1.22,-0.73,
Sensor_data:-0.02,0.05,0.95,0.31,0.98,-1.16,-0.83,
Sensor_data:-0.01,0.05,1.08,0.31,1.16,-1.22,0.10,
Sensor_data:0.01,-0.03,1.02,3.30,0.85,-1.65,1.14,
Sensor_data:0.01,0.01,1.08,-1.95,1.04,-1.59,1.10,
Sensor_data:0.01,-0.00,0.95,-0.06,1.04,-1.65,-0.60,
Sensor_data:0.01,-0.03,0.97,0.43,1.10,-1.59,-0.93,
Sensor_data:0.01,-0.04,1.04,0.31,1.16,-1.46,-0.44,
Sensor_data:-0.01,-0.06,1.02,2.26,1.04,-1.65,0.04,
Sensor_data:0.00,-0.01,1.04,-1.71,1.22,-1.16,0.10,
Sensor_data:-0.02,0.01,0.98,-0.79,1.04,-1.16,0.75,
Sensor_data:0.01,0.01,0.93,1.16,1.04,-1.28,0.62,
Sensor_data:-0.03,-0.00,0.89,1.04,1.10,-1.28,0.88,
Sensor_data:-0.01,-0.05,1.12,-1.40,1.10,-1.10,0.75,
Sensor_data:-0.02,0.05,0.96,-0.92,1.10,-1.34,0.81,
Sensor_data:0.01,-0.03,1.05,0.43,1.16,-1.22,0.01,
Sensor_data:0.01,-0.02,0.94,1.59,0.92,-1.22,-0.60,
Sensor_data:0.00,-0.03,1.03,0.73,1.10,-1.40,-0.54,
Sensor_data:0.01,-0.01,0.97,-0.18,0.92,-1.22,1.20,
Sensor_data:0.01,0.00,1.01,-0.85,1.10,-1.04,0.97,
Sensor_data:0.00,0.01,1.02,-0.24,1.04,-1.04,0.10,
Sensor_data:0.00,-0.01,0.98,1.53,0.79,-1.22,0.17,
Sensor_data:-0.00,0.00,1.03,-0.79,1.04,-1.16,0.14,
Sensor_data:-0.01,0.00,0.95,-0.98,1.10,-1.28,0.01,
Sensor_data:0.05,0.04,1.22,-1.77,1.40,-1.10,-0.60,
Sensor_data:-0.01,0.12,0.94,0.49,1.34,-1.10,-0.57,
Sensor_data:-0.00,0.04,0.99,3.23,0.92,-1.46,-0.73,
Sensor_data:0.01,0.08,1.08,-1.34,0.92,-1.22,0.17,
Sensor_data:0.01,0.03,0.97,1.34,0.92,-1.59,0.97,
Sensor_data:0.02,-0.00,1.05,0.98,1.04,-1.77,1.01,
Sensor_data:0.01,0.00,1.03,0.61,1.16,-1.59,0.14,
Sensor_data:0.01,-0.04,0.99,2.08,1.04,-1.65,-0.80,
Sensor_data:0.01,-0.02,1.05,-1.83,1.28,-1.34,-0.48,
Sensor_data:0.01,-0.03,0.98,0.31,1.16,-1.34,0.14,
