Sensor_data:-0.02,-0.04,0.96,1.46,0.92,-1.34,0.78,
Sensor_data:-0.01,0.02,0.95,-0.49,1.04,-1.10,0.88,
Sensor_data:-0.04,0.11,1.06,-2.56,1.40,-0.98,0.01,
Sensor_data:-0.03,0.04,0.85,2.14,0.98,-1.40,-0.41,
Sensor_data:0.00,0.06,1.10,-1.16,1.65,-1.22,-0.41,
Sensor_data:0.01,0.02,1.00,2.14,0.73,-1.83,-0.44,
Sensor_data:-0.01,-0.04,0.88,2.01,0.61,-1.71,0.17,
Sensor_data:0.01,-0.00,1.00,-3.48,1.40,-1.59,0.88,
Sensor_data:0.01,-0.05,0.92,3.36,0.85,-1.59,0.91,
Sensor_data:0.01,-0.03,1.05,0.37,1.16,-1.40,0.46,
Sensor_data:-0.01,-0.05,1.07,-0.18,0.92,-1.34,-0.60,
Sensor_data:-0.03,-0.04,1.00,1.34,0.85,-1.34,-0.60,
Sensor_data:-0.01,0.00,1.04,-0.73,1.16,-1.22,0.10,
Sensor_data:-0.02,-0.01,0.98,2.01,0.92,-1.28,0.81,
Sensor_data:-0.01,0.01,0.96,1.28,1.16,-1.22,0.56,
Sensor_data:-0.00,0.00,1.03,-0.67,1.04,-1.04,0.68,
Sensor_data:0.00,0.02,1.01,-0.98,1.10,-1.34,0.23,
Sensor_data:0.03,-0.00,1.04,0.12,1.16,-1.04,0.01,
Sensor_data:0.01,-0.00,1.05,1.65,0.98,-1.40,-0.64,
Sensor_data:0.01,0.03,0.96,0.79,0.92,-1.22,-0.57,
Sensor_data:0.01,-0.01,0.99,-0.31,1.10,-1.40,-0.06,
Sensor_data:0.01,-0.00,1.02,-0.55,1.22,-1.34,0.85,
Sensor_data:-0.00,0.00,0.99,0.92,1.10,-1.28,0.72,
Sensor_data:-0.03,-0.02,0.99,1.71,0.79,-1.16,0.07,
Sensor_data:0.00,-0.03,1.03,0.49,1.10,-1.16,-0.35,
Sensor_data:-0.02,0.01,0.98,-0.73,0.92,-1.04,-0.54,
Sensor_data:-0.00,0.02,1.04,-0.61,1.16,-1.04,0.20,
Sensor_data:0.01,0.01,1.02,1.16,1.10,-1.16,0.10,
Sensor_data:0.01,0.03,1.09,0.61,1.16,-1.04,0.75,
Sensor_data:0.01,0.03,0.99,-0.85,1.22,-1.16,0.91,
Sensor_data:0.02,0.05,0.93,0.24,0.92,-1.28,0.07,
Sensor_data:0.02,0.06,1.19,-2.14,1.46,-1.16,-0.44,
Sensor_data:0.03,-0.00,0.97,2.75,0.92,-1.71,-0.38,
Sensor_data:-0.01,-0.03,0.86,2.93,0.55,-1.89,-0.54,
Sensor_data:0.00,-0.02,1.01,-1.89,1.40,-1.53,0.14,
Sensor_data:-0.00,-0.05,0.92,1.34,0.92,-1.59,0.85,
Sensor_data:-0.02,-0.03,1.10,-0.92,1.28,-1.28,0.72,
Sensor_data:-0.00,-0.04,0.99,1.89,1.04,-1.40,0.14,
Sensor_data:-0.00,-0.05,1.04,2.14,0.85,-1.53,-0.60,
Sensor_data:-0.02,0.02,1.04,-1.46,1.16,-1.16,-0.54,
